Paper,Date,Category,Task,Task details,Architecture,Loss,Dependent Variable,Scaling Variable 1,Scaling Variable 2,Type,Functional form,Exponent 1,Exponent 2,Irreducible loss,Parameter values,Compute range (FLOP),,Data range (mixed),,Data unit,Size range (parameters),,Additional Conditions,Scaling strategy
A Constructive Prediction of the Generalization Error Across Scales,20 Dec 2019,Language,Language modeling,PTB,AWD-LSTM,Cross-entropy,Loss,Parameters,Data,Bivariate power law with transition - sum,"L(N,D) = I * ||(N^-a + BD^-b + E)/(N^-a + BD^-b + E -in)||",0.81,0.34,4.864433812,"a=0.81, B=0.15, b=0.34, E=5.00, n=6.27, I=6.10",,,2.81E+04,9.00E+05,Words,4.88E+02,2.00E+07,,
A Constructive Prediction of the Generalization Error Across Scales,20 Dec 2019,Language,Language modeling,WikiText-2,AWD-LSTM,Cross-entropy,Loss,Parameters,Data,Bivariate power law with transition - sum,"L(N,D) = I * ||(N^-a + BD^-b + E)/(N^-a + BD^-b + E -in)||",1.01,0.22,4.923728324,"a=1.01, B=0.99, b=0.22, E=8.23, n=10.38, I=6.21",,,6.25E+04,2.00E+06,Words,4.88E+02,2.00E+07,,
A Constructive Prediction of the Generalization Error Across Scales,20 Dec 2019,Language,Language modeling,WikiText-103,Transformer-XL,Cross-entropy,Loss,Parameters,Data,Bivariate power law with transition - sum,"L(N,D) = I * ||(N^-a + BD^-b + E)/(N^-a + BD^-b + E -in)||",0.74,0.56,3.651407589,"a=0.74, B=0.33, b=0.56, E=9.04, n=16.34, I=6.60",,,3.13E+06,1.00E+08,Words,1.00E+04,4.10E+07,,
A Constructive Prediction of the Generalization Error Across Scales,20 Dec 2019,Vision,Image classification,ImageNet,ResNet-50,Top-1 error,Loss,Parameters,Data,Bivariate power law with transition - sum,"L(N,D) = I * ||(N^-a + BD^-b + E)/(N^-a + BD^-b + E -in)||",0.75,0.61,0.1962162162,"a=0.75, B=0.76, b=0.61, E=3.63, n=18.50, I=1",,,1.88E+04,1.20E+06,Labelled images,6.23E+03,2.55E+07,,
A Constructive Prediction of the Generalization Error Across Scales,20 Dec 2019,Vision,Image classification,CIFAR10,WRN-44-16,Top-1 error,Loss,Parameters,Data,Bivariate power law with transition - sum,"L(N,D) = I * ||(N^-a + BD^-b + E)/(N^-a + BD^-b + E -in)||",0.66,0.53,3.61E-15,"a=0.66, B=5.87e−2, b=0.53, E=7.14e−14, n=19.77, I=1",,,1.88E+03,6.00E+04,Labelled images,2.73E+03,4.48E+07,,
A Constructive Prediction of the Generalization Error Across Scales,20 Dec 2019,Vision,Image classification,CIFAR100,WRN-44-16,Top-1 error,Loss,Parameters,Data,Bivariate power law with transition - sum,"L(N,D) = I * ||(N^-a + BD^-b + E)/(N^-a + BD^-b + E -in)||",0.7,0.51,0.1024531025,"a=0.70, B=0.15, b=0.51, E=0.71, n=6.93, I=1",,,1.88E+03,6.00E+04,Labelled images,2.73E+03,1.12E+07,,
A Constructive Prediction of the Generalization Error Across Scales,20 Dec 2019,Vision,Image classification,DTD,WRN-44-16,Top-1 error,Loss,Parameters,Data,Bivariate power law with transition - sum,"L(N,D) = I * ||(N^-a + BD^-b + E)/(N^-a + BD^-b + E -in)||",0.4,1.16,1.49E-09,"a=0.40, B=4.30e−5, b=1.16, E=1.27e−09, n=0.85, I=1",,,1.76E+02,5.64E+03,Labelled images,2.73E+03,1.12E+07,,
A Constructive Prediction of the Generalization Error Across Scales,20 Dec 2019,Vision,Image classification,Airfract,WRN-44-16,Top-1 error,Loss,Parameters,Data,Bivariate power law with transition - sum,"L(N,D) = I * ||(N^-a + BD^-b + E)/(N^-a + BD^-b + E -in)||",1.1,0.83,4.57E-10,"a=1.10, B=3.47e−3, b=0.83, E=5.16e−10, n=1.13, I=1",,,3.13E+02,1.00E+04,Labelled images,2.73E+03,1.12E+07,,
A Constructive Prediction of the Generalization Error Across Scales,20 Dec 2019,Vision,Image classification,UFC101,WRN-44-16,Top-1 error,Loss,Parameters,Data,Bivariate power law with transition - sum,"L(N,D) = I * ||(N^-a + BD^-b + E)/(N^-a + BD^-b + E -in)||",0.93,0.54,3.89E-10,"a=0.93, B=4.68e−2, b=0.54, E=1.16e−09, n=2.98, I=1",,,4.06E+02,1.30E+04,Labelled images,2.73E+03,1.12E+07,,
Scaling Laws for Neural Language Models,23 Jan 2020,Language,Language modeling,,Decoder-only Transformer,Cross-entropy,Loss,Compute,,Power law,L(C) = KC^-c,0.05,,,"K=26.38, c=0.05",1.69E+10,3.45E+19,2.20E+07,2.30E+10,BPE Tokens,7.68E+02,1.50E+09,,
Scaling Laws for Neural Language Models,23 Jan 2020,Language,Language modeling,,Decoder-only Transformer,Cross-entropy,Loss,Parameters,,Power law,L(N) = AN^-a,0.076,,,"A=11.48, a=0.076",1.69E+10,3.45E+19,2.20E+07,2.30E+10,BPE Tokens,7.68E+02,1.50E+09,,
Scaling Laws for Neural Language Models,23 Jan 2020,Language,Language modeling,,Decoder-only Transformer,Cross-entropy,Loss,Data,,Power law,L(D) = BD^-b,0.095,,,"B=20.81, b=0.095",1.69E+10,3.45E+19,2.20E+07,2.30E+10,BPE Tokens,7.68E+02,1.50E+09,,
Scaling Laws for Neural Language Models,23 Jan 2020,Language,Language modeling,,Decoder-only Transformer,Cross-entropy,Loss,Parameters,Data,Bivariate power law,"L(N,D) = [(A/N)^(a/b) + B/D]^-b",0.076,0.095,,"A=11.48, a=0.076, B=20.81, b=0.095",1.69E+10,3.45E+19,2.20E+07,2.30E+10,BPE Tokens,7.68E+02,1.50E+09,,
Scaling Laws for Neural Language Models,23 Jan 2020,Language,Language modeling,,Decoder-only Transformer,Cross-entropy,Loss,Parameters,Training Steps,Bivariate power law - sum,"L(N,S) = AN^-a + BS^-b",0.076,0.76,,"A=11.48, a=0.076, B=334.88, b=0.76",1.69E+10,3.45E+19,2.20E+07,2.30E+10,BPE Tokens,7.68E+02,1.50E+09,Training at the critical batch size,
Scaling Laws for Autoregressive Generative Modeling,28 Oct 2020,Language,Language modeling,,Decoder-only Transformer,Cross-entropy,Loss,Parameters,,Power law,L(N) = AN^-a,0.07,,,"A=9.810, a=0.07",8.64E+14,4.32E+23,,,BPE Tokens,1.00E+05,1.75E+11,,
Scaling Laws for Autoregressive Generative Modeling,28 Oct 2020,Language,Language modeling,,Decoder-only Transformer,Cross-entropy,Loss,Compute,,Power law,L(C) = KC^-c,0.048,,,"K=23.27, c=0.048",8.64E+14,4.32E+23,,,BPE Tokens,1.00E+05,1.75E+11,,
Scaling Laws for Autoregressive Generative Modeling,28 Oct 2020,Vision,Image modeling,"8x8 Image modeling, pixel encoding",Decoder-only Transformer,Cross-entropy,Loss,Parameters,,Power law plus constant,L(N) = AN^-a + E,0.24,,3.12,"A=2.862, a=0.24",1.00E+13,8.64E+19,,1.00E+08,8x8 Images,1.00E+05,3.00E+08,,
Scaling Laws for Autoregressive Generative Modeling,28 Oct 2020,Vision,Image modeling,"8x8 Image modeling, pixel encoding",Decoder-only Transformer,Cross-entropy,Loss,Compute,,Power law plus constant,L(C) = KC^-c + E,0.19,,3.13,"K=207.2, c=0.19",1.00E+13,8.64E+19,,1.00E+08,8x8 Images,1.00E+05,3.00E+08,,
Scaling Laws for Autoregressive Generative Modeling,28 Oct 2020,Vision,Image modeling,"16x16 Image modeling, pixel encoding",Decoder-only Transformer,Cross-entropy,Loss,Parameters,,Power law plus constant,L(N) = AN^-a + E,0.22,,2.64,"A=3.454, a=0.22",1.73E+14,8.64E+20,,1.00E+08,16x16 Images,1.00E+05,2.00E+09,,
Scaling Laws for Autoregressive Generative Modeling,28 Oct 2020,Vision,Image modeling,"16x16 Image modeling, pixel encoding",Decoder-only Transformer,Cross-entropy,Loss,Compute,,Power law plus constant,L(C) = KC^-c + E,0.16,,2.64,"K=87.59, c=0.16",1.73E+14,8.64E+20,,1.00E+08,16x16 Images,1.00E+05,2.00E+09,,
Scaling Laws for Autoregressive Generative Modeling,28 Oct 2020,Vision,Image modeling,"32x32 Image modeling, pixel encoding",Decoder-only Transformer,Cross-entropy,Loss,Parameters,,Power law plus constant,L(N) = AN^-a + E,0.13,,2.2,"A=1.713, a=0.13",1.73E+14,8.64E+20,,1.00E+08,32x32 Images,1.00E+05,2.00E+09,,
Scaling Laws for Autoregressive Generative Modeling,28 Oct 2020,Vision,Image modeling,"32x32 Image modeling, pixel encoding",Decoder-only Transformer,Cross-entropy,Loss,Compute,,Power law plus constant,L(C) = KC^-c + E,0.1,,2.21,"K=14.10, c=0.1",1.73E+14,8.64E+20,,1.00E+08,32x32 Images,1.00E+05,2.00E+09,,
Scaling Laws for Autoregressive Generative Modeling,28 Oct 2020,Vision,Image modeling,"16x16 Image modeling, VQ encoding",Decoder-only Transformer,Cross-entropy,Loss,Parameters,,Power law plus constant,L(N) = AN^-a + E,0.13,,3.99,"A=3.767, a=0.13",1.00E+13,1.73E+20,,1.00E+08,64x64 VQ256 Images,1.00E+05,3.00E+09,,
